fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-12,Colorado Rockies @ Detroit Tigers,Detroit Tigers,Colorado Rockies,Andrew Sears,Tanner Gordon,0.95,5.19,4.43,8.91,59.6,40.4,1.5988023952095807,2.38,Sin Valor Claro,0%
2026-09-12,New York Mets @ New York Yankees,New York Yankees,New York Mets,Gerrit Cole,Zac Thornton,0.98,4.37,4.15,9.33,53.5,46.5,1.6097560975609757,2.38,Visitante (+EV 10.7%),1.9%
2026-09-12,Pittsburgh Pirates @ Chicago Cubs,Chicago Cubs,Pittsburgh Pirates,Clay Holmes,Paul Skenes,1.04,4.91,4.01,9.11,52.9,47.1,1.819672131147541,2.04,Sin Valor Claro,0%
2026-09-12,Baltimore Orioles @ Toronto Blue Jays,Toronto Blue Jays,Baltimore Orioles,Spencer Miles,Kyle Bradish,0.98,3.87,4.19,8.44,53.8,46.2,1.7936507936507935,2.08,Sin Valor Claro,0%
2026-09-12,Los Angeles Angels @ Washington Nationals,Washington Nationals,Los Angeles Angels,Andrew Alvarez,Walbert Ureña,0.97,4.66,4.01,8.97,54.4,45.6,1.8333333333333335,2.02,Sin Valor Claro,0%
2026-09-12,San Diego Padres @ San Francisco Giants,San Francisco Giants,San Diego Padres,Cesar Perdomo,Michael King,0.95,3.97,4.4,8.84,45.8,54.2,2.48,1.5681818181818183,Local (+EV 13.6%),2.3%
2026-09-12,Kansas City Royals @ Boston Red Sox,Boston Red Sox,Kansas City Royals,Ranger Suarez,Randy Dobnak,1.08,4.8,4.17,8.33,57.5,42.5,1.4651162790697674,2.8,Visitante (+EV 19.0%),2.6%
2026-09-12,Cleveland Guardians @ Minnesota Twins,Minnesota Twins,Cleveland Guardians,Connor Prielipp,Daniel Espino,1.0,4.0,3.88,7.76,48.0,52.0,1.925925925925926,1.925925925925926,Sin Valor Claro,0%
2026-09-12,Los Angeles Dodgers @ Miami Marlins,Miami Marlins,Los Angeles Dodgers,Tyler Phillips,Tyler Glasnow,0.93,4.31,4.71,8.64,42.6,57.4,2.54,1.5434782608695652,Local (+EV 8.2%),1.3%
2026-09-12,Houston Astros @ Tampa Bay Rays,Tampa Bay Rays,Houston Astros,Ian Seymour,Peter Lambert,0.93,4.6,4.22,8.41,54.4,45.6,1.6944444444444444,2.2199999999999998,Sin Valor Claro,0%
2026-09-12,Cincinnati Reds @ Milwaukee Brewers,Milwaukee Brewers,Cincinnati Reds,TBD,Brady Singer,0.99,4.39,3.88,8.61,59.4,40.6,1.510204081632653,2.6399999999999997,Visitante (+EV 7.2%),1.1%
2026-09-12,Philadelphia Phillies @ Atlanta Braves,Atlanta Braves,Philadelphia Phillies,Tyler Mahle,TBD,1.01,4.0,4.46,8.46,46.4,53.6,1.7462686567164178,2.16,Visitante (+EV 15.8%),3.4%
2026-09-12,Chicago White Sox @ St. Louis Cardinals,St. Louis Cardinals,Chicago White Sox,Kyle Leahy,Sean Newcomb,0.99,4.57,4.39,9.03,51.3,48.7,1.8928571428571428,1.9615384615384617,Sin Valor Claro,0%
2026-09-12,Texas Rangers @ Arizona Diamondbacks,Arizona Diamondbacks,Texas Rangers,Brandon Pfaadt,Kumar Rocker,0.97,4.08,4.41,8.93,49.4,50.6,1.7692307692307692,2.1,Visitante (+EV 6.3%),1.4%
2026-09-12,Seattle Mariners @ Athletics,Athletics,Seattle Mariners,Gage Jump,Bryan Woo,0.96,4.43,5.13,9.75,48.1,51.9,2.5,1.5617977528089888,Local (+EV 20.3%),3.4%
